Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"id",23015056-B68F-0B56-5B68-E93ED4F5D9FB,103,,C53EA700-F3DC-8F5A-8BC1-FD94ABBCCCCC,102,Y,Domain,,,,,226ADBAC-7E5D-133A-D68E-D41F1758FB6C,21,LOGDT019,67,,,,,,,,,Y,"numeric_id",NUMERIC,,,,,,,,"User",P,,,1,,,,,
"username",FE829446-1922-94B8-BFCB-9275CB32DC0C,104,,C53EA700-F3DC-8F5A-8BC1-FD94ABBCCCCC,102,N,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"User",,,,2,400,,,,
"firstName",A35B65E9-4ED7-1634-3D42-B9EB2B41FF5B,105,,C53EA700-F3DC-8F5A-8BC1-FD94ABBCCCCC,102,N,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"User",,,,3,400,,,,
"lastName",5911ACF5-1D89-2DF4-3790-7E4A4C65D181,106,,C53EA700-F3DC-8F5A-8BC1-FD94ABBCCCCC,102,N,Domain,,,,,E22467A2-A793-E4C5-0C65-F663AC065B95,19,LOGDT037,68,,,,,,,,,Y,"name",NVARCHAR,,,,,,,,"User",,,,4,400,,,,
